MINN.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
45.61, 46.2, 3.8069e-17, -0.59
45.82, 48.03, -6.20822e-16, -2.21
46.9, 44.48, 8.61204e-16, 2.42
47.67, 35.93, 4.46516e-16, 11.74
48.08, 34.9, 9.2319e-16, 13.18
48.07, 35.16, -3.02746e-16, 12.91
48.3, 50.93, -1.58868e-16, -2.63
45.12, 36.11, -8.04128e-16, 9.01
38.77, 29.38, 3.05616e-16, 9.39
36.58, 26.31, -1.67096e-16, 10.27
42.38, 27.71, -1.04021e-15, 14.67
34.76, 29.06, -3.24975e-16, 5.7
29.11, 24.16, 5.99674e-16, 4.95
25.71, 25.72, -9.64033e-16, -0.01
MICHIGAN.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
26.75, 30.82, -0.572303, -4.07
25.63, 35.72, 0.273986, -10.09
25.05, 32.07, 0.733632, -7.02
25.12, 48.67, -0.227967, -23.55
26.59, 35.64, 0.201749, -9.05
30.49, 30.72, 0.622495, -0.23
37.13, 28.31, -0.814152, 8.82
41.55, 30.37, 0.12591, 11.18
44.78, 35.79, 0.121145, 8.99
46.18, 37.35, -0.318924, 8.83
47.27, 42.5, -0.910726, 4.77
47.47, 72.76, 0.106548, -25.29
47.19, 38.27, 0.00915875, 8.92
48.01, 35.95, -0.171693, 12.06
48.25, 37.23, 0.904543, 11.02
47.58, 36.43, 0.821672, 11.15
44.11, 39.78, 0.906247, 4.33
39.76, 55.5, 1.00259, -15.74
37.29, 65.86, -0.160591, -28.57
44.8, 48.49, -0.501468, -3.69
46.8, 48.86, -0.815718, -2.06
36.21, 30.68, -0.262102, 5.53
27.74, 27.78, -0.0214772, -0.04
26.68, 36.28, 0.331288, -9.6

Day2
28.89, 25.01, -0.00117012, 3.88
27.59, 24.88, 0.000560184, 2.71
27.01, 26, 0.00149997, 1.01
27.8, 39.91, -0.000466097, -12.11
30.68, 41.29, 0.00041249, -10.61
35.18, 111.43, 0.00127274, -76.25
37.64, 29.87, -0.0016646, 7.77
42.4, 30.55, 0.000257434, 11.85
42.64, 33.39, 0.00024769, 9.25
